Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
Wadena County Social Services,Wadena,MN,50446,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"885,563",,"885,563",,0,
Troup County Transit,Lagrange,GA,41019,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"398,503",,"398,503",,0,
Forest County Potawatomi Community,Crandon,WI,50014,Tribe,Reduced Reporter,2022,55,Wisconsin Non-UZA,"2,782,206",8,DR,Demand Response,DO,8,0,,0,,0,,0,,"143,431",,"143,431",,0,
Ionia Dial-A-Ride,Ionia,MI,50514,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"724,404",,"724,404",,0,
"Wells County Council on Aging , dba: Wells on Wheels",Bluffton,IN,50403,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"727,623",,"727,623",,0,
"James River Senior Citizens Center, Inc.",Jamestown,ND,80124,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"817,666",,"817,666",,0,
"City of Grand Prairie , dba: Grand Connection",Grand Prairie,TX,60068,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",8,DR,Demand Response,DO,8,0,,0,,0,,0,,"1,400,396",,"1,400,396",,0,
Municipality of Patillas,Patillas,PR,44976,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,DO,8,0,,0,,0,,0,,"92,120",,"92,120",,0,
Bay Mills Indian Community,Brimley,MI,50007,Tribe,Reduced Reporter,2022,26,Michigan Non-UZA,"3,418,966",1,MB,Bus,DO,1,0,,0,,0,,0,,"146,968",,"146,968",,0,
Monroe Randolph Transit District,Sparta,IL,50339,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"680,838",,"680,838",,0,
Jackson County Council on Aging,Scottsboro,AL,41180,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"494,287",,"494,287",,0,
"Five County Child Development Program, Inc.",Prentiss,MS,41051,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"547,896",,"547,896",,0,
"Huerfano/Las Animas Council of Governments, dba: South Central Council of Governments",Trinidad,CO,80227,"MPO, COG or Other Planning Agency",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"564,660",,"564,660",,0,
Escambia County Commission,Brewton,AL,40926,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"230,899",,"230,899",,0,
Lake Havasu City Transit,Lake Havasu City,AZ,90305,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,46747,"Lake Havasu City, AZ","59,017",8,DR,Demand Response,DO,8,0,,0,,0,,0,,"558,034",,"558,034",,0,
Sunflower Diversified Services,Great Bend,KS,70137,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"593,428",,"593,428",,0,
City of Key West Department of Transportation,Key West,FL,41060,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,DO,8,0,,0,,0,,0,,"3,431,769",,"3,431,769",,0,
Ashland Public Transit,Ashland,OH,50382,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"863,400",,"863,400",,0,
Peter Pan Bus Lines,Springfield,MA,11160,Private-For-Profit Corporation,Reduced Reporter,2022,9271,"Boston, MA--NH","4,382,009",8,CB,Commuter Bus,DO,8,0,,0,,0,,0,,"4,357,530",,"4,357,530",,0,
Dolores County Senior Services,Dove Creek,CO,80168,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"270,858",,"270,858",,0,
Clay County,Hayesville,NC,41160,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"711,229",,"711,229",,0,
"Pender Adult Services, Inc.",Burgaw,NC,40938,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"862,349",,"862,349",,0,
"City of Fairfax, dba: CUE Bus",Fairfax,VA,30058,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD","5,174,759",8,MB,Bus,DO,8,"3,029,672",,"666,293",,"127,657",,"1,168,094",,0,,"4,991,716",,0,
"City of Seattle, dba: Seattle Center Monorail",Seattle,WA,00023,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011",8,MG,Monorail/Automated Guideway,PT,8,"1,343,555",,"856,555",,"212,671",,"2,481,012",,0,,"4,893,793",,0,
Madison County Transportation Authority,Marshall,NC,40976,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"549,087",,"549,087",,0,
Monroe County Public Transportation,Woodsfield,OH,50293,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"334,422",,"334,422",,0,
McDowell Transit,Marion,NC,44977,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"634,820",,"634,820",,0,
Lavaca County,Hallettsville,TX,66280,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,PT,8,0,,0,,0,,0,,"231,397",,"231,397",,0,
Golden Spread Rural Frontier Coalition,Clayton,NM,60244,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"495,216",,"495,216",,0,
Otsego County,Cooperstown,NY,20998,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,PT,8,0,,0,,0,,0,,"827,717",,"827,717",,0,
St. Helena Council on Aging,Greensburg,LA,66273,Area Agency on Aging,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"230,574",,"230,574",,0,
Anson County,Wadesboro,NC,41113,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"818,428",,"818,428",,0,
Coffey County Transportation,Burlington,KS,70222,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"586,377",,"586,377",,0,
Vermilion Council on Aging,Abbeville,LA,60211,Area Agency on Aging,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"190,999",,"190,999",,0,
"Fulton County Council on Aging , dba: Fulton County Public Transit",Rochester,IN,50484,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"471,520",,"471,520",,0,
Spartanburg Transit System,Spartanburg,SC,40101,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,83548,"Spartanburg, SC","196,943",8,MB,Bus,DO,8,0,,0,,0,,0,,"1,652,160",,"1,652,160",,0,
Access Tusc,New Philadelphia,OH,55657,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"654,429",,"654,429",,0,
Broadway Bus Corporation,Bayonne,NJ,20220,Private-For-Profit Corporation,Reduced Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",8,MB,Bus,DO,8,0,,0,,0,,0,,"373,560",,"373,560",,0,
National Capital Region Transportation Planning Board,Washington,DC,30106,"MPO, COG or Other Planning Agency",Reduced Reporter,2022,92242,"Washington--Arlington, DC--VA--MD","5,174,759",8,VP,Vanpool,PT,8,0,,0,,0,,0,,"29,118",,"29,118",,0,
Eastern Nebraska,Omaha,NE,70160,Area Agency on Aging,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"457,234",,"457,234",,0,
Choanoke Public Transportation Authority,Rich Square,NC,41131,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"1,189,982",,"1,189,982",,0,
Coweta County,Newnan,GA,41133,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,3817,"Atlanta, GA","5,100,112",8,DR,Demand Response,PT,8,0,,0,,0,,0,,"526,943",,"526,943",,0,
"Cameron Council on Aging, Inc",Lake Charles,LA,60235,Area Agency on Aging,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"289,223",,"289,223",,0,
Evangeline Council on Aging,Ville Platte,LA,60169,Area Agency on Aging,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"333,919",,"333,919",,0,
Yates County,Penn Yan,NY,21000,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,DO,8,0,,0,,0,,0,,"659,710",,"659,710",,0,
Arenac County,Standish,MI,50225,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"622,743",,"622,743",,0,
Caswell County,Yanceyville,NC,40996,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"439,711",,"439,711",,0,
Campbell County Senior Citizens Association Inc,Gillette,WY,80163,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"345,813",,"345,813",,0,
Grundy County,Morris,IL,50253,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"642,658",,"642,658",,0,
City of Clovis,Clovis,NM,60225,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"736,872",,"736,872",,0,
Mariposa County Transit,Mariposa,CA,91082,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"376,796",,"376,796",,0,
"Blue River AAA, dba: Blue Rivers Public Transportation",Beatrice,NE,70076,Area Agency on Aging,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"722,009",,"722,009",,0,
"Whitley County Council on Aging , dba: Whitley County Transit",Columbia City,IN,50468,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"810,412",,"810,412",,0,
"Community Services, Inc.",Corsicana,TX,60260,Private-Non-Profit Corporation,Reduced Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",8,DR,Demand Response,DO,8,0,,0,,0,,0,,"1,140,329",,"1,140,329",,0,
Fergus County Council on Aging,Lewistown,MT,80236,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"300,601",,"300,601",,0,
Key Opportunities,Hillsdale,MI,55440,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"156,464",,"156,464",,0,
Blount County Commission,Oneonta,AL,40907,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"388,946",,"388,946",,0,
City of Portage,Portage,WI,50470,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,PT,8,0,,0,,0,,0,,"807,459",,"807,459",,0,
"City of Chippewa Falls, dba: Chippewa Falls Shared Ride Taxi",Chippewa Falls,WI,50133,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,26038,"Eau Claire, WI","105,475",8,DR,Demand Response,PT,8,0,,0,,0,,0,,"541,840",,"541,840",,0,
COTA,Saipan,MP,91045,State Government Unit or Department of Transportation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"1,710,908",,"1,710,908",,0,
"Brainerd, City of",Brainerd,MN,50322,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"1,486,919",,"1,486,919",,0,
Polk County Transportation Authority,Columbus,NC,40934,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"512,458",,"512,458",,0,
Clinton County,Plattsburgh,NY,20939,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,DO,7,0,,0,,0,,0,,"1,372,702",,"1,372,702",,0,
"Accomack-Northhampton Transportation District Comm, dba: STAR Transit",Tasley,VA,30114,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,DO,7,0,,0,,0,,0,,"1,124,637",,"1,124,637",,0,
Municipality of Lares,Lares,PR,40197,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,72,Puerto Rico Non-UZA,"463,143",8,MB,Bus,DO,6,0,,0,,0,,0,,"66,600",,"66,600",,0,
Madera County,Madera,CA,91005,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,52984,"Madera, CA","78,413",8,CB,Commuter Bus,PT,6,0,,0,,0,,0,,"844,711",,"844,711",,0,
"Oneida-Vilas Transit Commission, dba: Northwoods Transit Connections",Rhinelander,WI,55319,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,8,DR,Demand Response,DO,6,0,,0,,0,,0,,"418,266",,"418,266",,0,
"West's Transportation, Inc.",Milbridge,ME,10177,Private-For-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,6,0,,0,,0,,0,,"70,458",,"70,458",,0,
"City of Baldwin Park, dba: Baldwin Park Transit",Baldwin Park,CA,90251,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",8,MB,Bus,PT,6,0,,0,,0,,0,,"1,070,641",,"1,070,641",,0,
"City of Longview, dba: City of Longview Transit",Longview,TX,60081,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51256,"Longview, TX","107,099",8,MB,Bus,DO,6,0,,0,,0,,0,,"1,779,706",,"1,779,706",,0,
Jackson County,Sylva,NC,41167,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,6,0,,0,,0,,0,,"568,171",,"568,171",,0,
Houghton Motor Transit Line,Houghton,MI,50386,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,6,0,,0,,0,,0,,"363,036",,"363,036",,0,
Oswego County,Oswego,NY,20942,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,PT,6,0,,0,,0,,0,,"1,433,412",,"1,433,412",,0,
Transylvania County,Brevard,NC,41115,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,6,0,,0,,0,,0,,"417,878",,"417,878",,0,
"City of Coolidge, dba: Cotton Express",Coolidge,AZ,91096,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,DO,6,0,,0,,0,,0,,"789,093",,"789,093",,0,
"City of Suffolk, dba: Suffolk Transit",Suffolk,VA,30198,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,90892,"Virginia Beach--Norfolk, VA","1,451,578",8,MB,Bus,PT,6,0,,0,,0,,0,,"1,572,039",,"1,572,039",,0,
Municipality of Cidra,Cidra,PR,40124,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,79093,"San Juan, PR","1,844,410",8,MB,Bus,DO,5,0,,0,,0,,0,,"37,489",,"37,489",,0,
"City of Watertown NY, dba: CitiBus",Watertown,NY,20215,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,92674,"Watertown, NY","51,832",8,MB,Bus,DO,5,0,,0,,0,,0,,"1,167,119",,"1,167,119",,0,
Columbia County,Saint Helens,OR,00375,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,PT,5,0,,0,,0,,0,,"697,060",,"697,060",,0,
Rural Resources Community Action,Colville,WA,00286,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,5,0,,0,,0,,0,,"653,189",,"653,189",,0,
Red Lake Band of the Chippewa,Redlake,MN,55234,Tribe,Reduced Reporter,2022,27,Minnesota Non-UZA,"2,336,986",8,DR,Demand Response,DO,5,0,,0,,0,,0,,"316,203",,"316,203",,0,
"City of Michigan , dba: Michigan City Transit",Michigan City,IN,50098,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,56656,"Michigan City--La Porte, IN--MI","71,367",8,MB,Bus,DO,4,0,,0,,0,,0,,"1,468,650",,"1,468,650",,0,
Municipality of Vega Baja,Vega Baja,PR,40117,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,79093,"San Juan, PR","1,844,410",8,DR,Demand Response,DO,4,0,,0,,0,,0,,"170,171",,"170,171",,0,
City of Muscatine,Muscatine,IA,70101,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,4,0,,0,,0,,0,,"426,858",,"426,858",,0,
Southwestern Community Services Transportation,Keene,NH,11156,Private-Non-Profit Corporation,Rural Reporter,2022,33,New Hampshire Non-UZA,"768,345",8,MB,Bus,DO,4,0,,0,,0,,0,,"470,226",,"470,226",,0,
Municipality of Vega Baja,Vega Baja,PR,40117,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,79093,"San Juan, PR","1,844,410",8,MB,Bus,DO,4,0,,0,,0,,0,,"521,567",,"521,567",,0,
City of Muscatine,Muscatine,IA,70101,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,DO,4,0,,0,,0,,0,,"599,723",,"599,723",,0,
Champaign County,Urbana,IL,50269,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,4,0,,0,,0,,0,,"414,081",,"414,081",,0,
City of West Covina,West Covina,CA,90293,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",8,DR,Demand Response,PT,4,0,,0,,0,,0,,"415,723",,"415,723",,0,
Champaign County,Urbana,IL,50269,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,DO,4,0,,0,,0,,0,,"360,826",,"360,826",,0,
City of West Covina,West Covina,CA,90293,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",8,MB,Bus,PT,4,0,,0,,0,,0,,"970,844",,"970,844",,0,
"Scotts Bluff Public Transit, dba: Tri City Roadrunner",Gering,NE,70183,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,DR,Demand Response,DO,4,0,,0,,0,,0,,"480,481",,"480,481",,0,
Schoharie County Public Transportation,Schoharie,NY,20926,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,PT,4,0,,0,,0,,0,,"641,786",,"641,786",,0,
"Scotts Bluff Public Transit, dba: Tri City Roadrunner",Gering,NE,70183,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,8,MB,Bus,DO,4,0,,0,,0,,0,,"628,211",,"628,211",,0,
